Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
Xu Guan Jia Boutique Apartment is a 10-minute walk from Women's Street and a 15-minute walk from Liberty Monument. It is 3.5 km from Caiyuanba Railway Station.	Бутик-апартаменты Xu Guan Jia расположены в 10 минутах ходьбы от торговой улицы Вименс стрит, в 15 минутах ходьбы от монумента Свободы и в 3,5 км от железнодорожного вокзала Цайюаньба.
Casetta in Legno is a wooden chalet on the shores of Lago Cerretano, in the peaceful Appenino Tosco-Emiliano mountains.	Дом для отпуска Casetta in Legno — это деревянное шале на берегу озера Черретано, среди умиротворенных гор Апеннино Тоско-Эмилиано.
Every room at this hotel is air conditioned and has a flat-screen TV.	Все номера оснащены кондиционером и телевизором с плоским экраном.
All bedrooms have their own private en suite bathrooms, and all enjoy a view of the beautiful gardens.	Во всех спальнях с живописным видом на сад в распоряжении гостей собственные ванные комнаты.
Jinjiang Inn - Shenzhen Fumin Road is surrounded by restaurants and entertainment sites.	Отель Jinjiang Inn - Shenzhen Fumin Road находится по соседству с ресторанами и развлекательными заведениями.
Extras include bed linen.	Постельное белье входит в стоимость проживания.
Free private parking spaces are available on the property’s premises.	На территории комплекса оборудована бесплатная частная парковка.
Each room features a flat-screen TV, a minibar, a safety deposit box and a bathroom with shower and bathrobe.	В числе удобств каждого номера телевизор с плоским экраном, мини-бар и сейф. Ванная комната с душем укомплектована халатами.
Reception is open 24-hours a day at the Brenta Hotel.	Стойка регистрации работает круглосуточно.
All accommodation units at the Annabelle’s come functionally furnished.	Все номера в комплексе Annabelle обставлены функциональной мебелью.
Gold Coast Airport is a 25-minute drive away.	До международного аэропорта Голд-Кост можно доехать за 25 минут.
It is a 10-minute walk from Campo Pequeno, a famed bullfighting ring where concerts are also held regularly.	В 10 минутах ходьбы расположена знаменитая арена для корриды Кампо-Пекено, где регулярно проводят различные концерты.
A 6-minute drive the Forest of Rambouillet, Pause Zen offers B&B accommodation with direct access to the landscaped garden.	Отель типа «постель и завтрак» Pause Zen расположен в 6 минутах езды от леса Рамбуйе. К услугам гостей номера с прямым выходом в ландшафтный сад.
The unit is 1.3 km from Cortina - Col Drusciè, and guests benefit from free WiFi and private parking available on site.	Район Коль-Друщие находится в 1,3 км. Предоставляется бесплатный Wi-Fi и частная парковка.
The property offers free parking.	На территории предоставляется бесплатная парковка.
Typical Czech specialities and international cuisine is served in the restaurant of Hotel Bobík.	В ресторане отеля Bobík подают типичные блюда чешской и интернациональной кухни.
Luggage storage is also provided.	Также предоставляется камера хранения багажа.
A shuttle service to and from Rockhampton Airport, which is 45 kilometres away, is available.	Для гостей организуют трансфер от/до аэропорта Рокгемптон, расположенного в 45 км от отеля.
Bright and spacious, apartments at Eara feature tiled floors and private balconies overlooking the mountains. Self-catering facilities include microwaves, refrigerators and dining areas.	В светлых и просторных апартаментах апарт-отеля Eara с кафельным полом есть собственный балкон с видом на горы, а также собственная кухня с микроволновой печью, холодильником и обеденной зоной.
The modern kitchen includes a dishwasher and a microwave.	На современной кухне установлены посудомоечная машина и микроволновая печь.
A supermarket, shops, bars and restaurants are 1.8 km away in Son Bou.	Супермаркет, магазины, бары и рестораны находятся в 1,8 км в городе Сон-Боу.
Guests can find a variety of restaurants and cafés nearby.	Неподалеку работают разнообразные рестораны и кафе.
Each room at Bed and breakfast Aratro & Rosmarino will provide you with a satellite flat-screen TV and a private bathroom.	Кроме того, в каждом номере отеля Aratro & Rosmarino есть телевизор с плоским экраном и спутниковыми каналами и собственная ванная комната.
Guests can sample a drink at the bar on site.	Гости могут заказать напитки в баре отеля.
A library is also available.	Кроме того, на территории отеля открыта библиотека.
Victoria Golf Course and Moreno Valley Mall are less than 6 miles away from this motel.	Расстояние от мотеля до поля для гольфа Victoria и торгового центра Moreno Valley составляет менее 9,6 км.
Authentic Khmer and Western dishes can be enjoyed at the in-house restaurant. Guests can also enjoy a drink while relaxing at the Pub.	В ресторане мотеля предлагают блюда западной и традиционной кхмерской кухни, а в пабе - разнообразные напитки.
Mediterranean dishes can also be enjoyed at the on-site restaurant for lunch or dinner.	В ресторане апарт-отеля на обед и ужин подают блюда средиземноморской кухни.
Free WiFi is featured throughout the property.	На всей территории предоставляется бесплатный Wi-Fi.
Lunch and dinner is also available while refreshing drinks can be enjoyed here.	Также можно заказать обед, ужин и прохладительные напитки.
A rich buffet breakfast with organic options and fresh Fairtrade coffee is served every morning.	По утрам подают разнообразный завтрак «шведский стол» с органическими продуктами и свежим кофе, отмеченным знаком «Справедливая торговля».
Rooms feature cable TV, air conditioning and a seating area. The en suite bathroom comes with shower facilities.	В числе удобств номеров кондиционер, телевизор с кабельными каналами, гостиный уголок и собственная ванная комната с душем.
Located in Maceió, Apartamentos & Suites Ponta Verde Maceió offers an outdoor pool.	Комплекс Apartamentos & Suites Ponta Verde Maceió расположен в городе Масейо. К услугам гостей открытый бассейн.
The 3-bedroom Apartament Conde Güell features modern décor, wooden floors and views of an interior patio.	Апартаменты Conde Güell с 3 спальнями оформлены в современном стиле. В них деревянные полы, а окна выходят во внутренний дворик.
The property offers free parking.	На территории обустроена бесплатная парковка.
Set among the surrounding forest, 7 minutes from Sundre, Alberta, Deer Valley Bed & Breakfast offers a breakfast each morning.	Окруженный лесом отель типа «постель и завтрак» Deer Valley находится в 7 минутах от города Сандр, провинция Альберта. Каждое утро в отеле подают завтрак.
Ferienhaus Leuchtturmblick auf Rügen is located in Sassnitz. Free WiFi access is available in this holiday home.	Дом для отпуска Ferienhaus Leuchtturmblick находится в городе Засниц и располагает бесплатным Wi-Fi.
You can also cook a delicious dinner using the fully equipped kitchen or barbecue facilities.	Гости могут самостоятельно приготовить вкусный ужин на полностью укомплектованной кухне или воспользоваться принадлежностями для барбекю.
All rooms feature a flat-screen TV and tea/coffee facilities.	Во всех номерах есть телевизор с плоским экраном и принадлежности для чая/кофе.
Located 500 metres from the centre of Šibenik, Apartments ATM offers air-conditioned accommodation with furnished patios and free Wi-Fi.	Апартаменты ATM с кондиционером, меблированным патио и бесплатным Wi-Fi расположены в 500 метрах от центра города Шибеник.
At Gasthof Adler you will find a terrace.	Гости отеля Gasthof Adler могут отдыхать на террасе.
Free Wi-Fi is available in all areas.	На всей территории предоставляется бесплатный Wi-Fi.
The 2 private bathrooms come with a shower.	Также в распоряжении гостей 2 собственные ванные комнаты с душем.
En suite bathrooms come with a bathtub.	В ванных комнатах в номерах установлена ванна.
Air conditioning and heating are included and the building offers a lift for guest convenience.	В числе удобств кондиционер и система отопления. Гости смогут легко попасть в апартаменты на лифте.
Onganga is situated in Avis, a quiet suburb on the eastern outskirts of Windhoek, en route to Hosea Kutako International Airport.	Отель Onganga находится в восточной части города Виндхука, в тихом пригороде Ависе, по пути к Международному аэропорту им. Хозеа Кутако.
Underground and S-Bahn trains are within a 10-minute walk.	До станции метро и городской железной дороги можно дойти за 10 минут.
A continental breakfast is served in high season and an American breakfast is offered in low season.	В высокий сезон гостям подают континентальный завтрак, а в низкий - американский завтрак.
En suite bathrooms come with a bathtub .	Во всех номерах есть ванная комната с ванной.
Alushta is 19 km from Usadba Magnoliia.	В 19 км от комплекса «Усадьба Магнолия» находится Алушта.
The hotel also offers free use of bicycles.	Для гостей организован бесплатный прокат велосипедов.
This apartment has a kitchenette, bathroom, bedroom, lounge area and garden with outdoor furniture.	Апартаменты располагают мини-кухней, ванной комнатой, спальней, гостиной зоной и меблированным садом.
The town of Skelskør, 5 km away, has a variety of restaurants.	В 5 км находится город Скельскер, где работают многочисленные рестораны.
Featuring iron beds, all Roza Canina rooms offer views of the imposing Mount Astrakas.	Из всех номеров гостевого дома Roza Canina открывается вид на впечатляющую гору Астракас.
Sinai Stay is 10 km from Edakkal Caves and 14 km from Muthanga Wildlife reserves.	Отель Sinai Stay находится в 10 км от пещер Эдаккал и в 14 км от заповедника Мутанга.
The private bathrooms are fitted with a shower.	В собственной ванной комнате установлен душ.
Set on Rincón de Guayabitos Beach, this colonial-style complex offers a large outdoor pool, sun terraces and tropical gardens.	Апарт-отель Estancia San Carlos Rincón de Guayabitos в колониальном стиле с большим открытым бассейном, солнечными террасами и тропическими садами находится на пляже Ринкон-де-Гуайабитос.
The property is 6 km from Grand Stage at Mezaparks and 9.5 km from the Old Town.	Расстояние до Большой эстрады в Межапарке составляет 6 км, а до Старого города – 9,5 км.
This property is 59 km on waterway from Tulcea.	Расстояние по берегу до города Тулча составляет 59 км.
It is the only accommodation at the Golden Peak of Wugong Mountain.	Это единственное место, где можно остановиться рядом с Золотым пиком на горе Угун.
They also include a safety deposit box and a minibar.	В числе удобств сейф и мини-бар.
This self-catering accommodation features free WiFi.	Гости могут воспользоваться бесплатным WiFi.
Traditional guest rooms offer free Wi-Fi and a cable TV.	Все номера с бесплатным WiFi и кабельным телевидением декорированы в традиционном стиле.
Car rental and sightseeing arrangements can be made at the on-site tour desk.	В экскурсионном бюро отеля можно заказать автомобиль в аренду и организовать экскурсии.
Guests can also play beach volleyball, go cycling around the island or read a book in the library.	Кроме того, гости могут поиграть в пляжный волейбол, покататься на велосипеде по острову или почитать книги в библиотеке.
The accommodation units of the Szerval Horse Riding Holidays come with a bathroom with shower and toilet, and with garden views.	К услугам гостей отеля Szerval Horse Riding Holidays номера с ванной комнатой с душем и туалетом, а также видом на сад.
Popular activities in the surrounding area include hiking and cycling.	В этом районе популярны пешие походы и велосипедные прогулки.
There is also a comfortable air-conditioned seating area and a furnished terrace overlooking the gardens.	Также имеется комфортабельная гостиная зона с кондиционером и меблированная терраса, откуда открывается вид на сад.
Church of Archangel Michael is 2 km from Din-Din Guest House, while Church of Ilya the Prophet is 2.1 km away.	Церковь Михаила Архангела находится в 2 км от гостевого дома «Динь-динь», а церковь Ильи Пророка - в 2,1 км.
Guests staying at Elefsina Hotel may benefit from the 24-hour front desk, the internet facilities and the express check-in check-out services available.	К услугам гостей отеля Elefsina предлагается круглосуточная стойка регистрации, доступ в Интернет, экспресс-регистрация заезда и отъезда из отеля.
Featuring a seasonal indoor pool and great mountain views, Casa Coleta is set in countryside, 7 km from Oviedo.	Дом для отпуска Casa Coleta с сезонным открытым бассейном и прекрасным видом на горы расположен в загородной местности в 7 км от города Овьедо.
Free WI-Fi is included in all rooms.	Во всех номерах предоставляется бесплатный Wi-Fi.
Featuring a pool and a snack bar amidst its lush garden, Katerini Hotel Apartments is located in Platanias of Rethymno, just 150 metres from the blue-flag beach.	Апарт-отель Katerini находится в районе Платаниас города Ретимнон, всего в 150 метрах от пляжа, отмеченного наградой Голубой флаг.
Hotel Bellpi is well located for skiing and the nearest slopes are 15 km away, in the Pal-Arinsal Resort.	Отель Bellpi расположен в хорошем месте для катания на лыжах. Расстояние до ближайших склонов горнолыжного курорта Пал-Аринсаль составляет 15 километров.
The property offers beds in dormitory with air conditioning and a flat-screen TV. Guests may find an electric kettle.	К услугам гостей хостела общие номера с кондиционером и телевизором с плоским экраном, укомплектованные электрическим чайником.
Apartment Diagonal Mar is a classic-style apartment located in Barcelona.	Апартаменты Diagonal Mar оформлены в классическом стиле и находятся в Барселоне.
Grocery delivery and in-room breakfast are available upon request.	Доставка продуктов и завтрак в номер предоставляется по запросу.
Alpine Lake Motor Lodge is located within 10 minutes’ walk to a number of shops, restaurants and lake activities.	Мотель Alpine Lake Motor Lodge находится в 10 минутах ходьбы от разнообразных магазинов, ресторанов и развлекательных заведений на берегу озера.
You will find a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Offering a barbecue, children's playground and terrace, Guest house Pravoslavnaya ulitsa 48a is set in Adler in the Krasnodar Krai Region.	Гостевой дом «На Православной улице, 48а» расположен на курорте Адлер в Краснодарском крае. В распоряжении гостей принадлежности для барбекю. Для детей разбита игровая площадка.
The property offers free parking and guests can rent bicycles at Ferienhaus Mittelweg.	Кроме того, в доме для отпуска Ferienhaus Mittelweg имеется бесплатная парковка и предлагается прокат велосипедов.
Evening meals can be provided upon request and at an additional cost.	По запросу и за дополнительную плату для гостей приготовят ужин.
Guests can make use of the well-equipped kitchenette, which comes with a dining area.	На хорошо оборудованной мини-кухне обустроена обеденная зона.
There is also a bar selling drinks and snacks.	Кроме того, вы можете заказать напитки и закуски в баре.
Free Wi-Fi access is available.	Предоставляется бесплатный Wi-Fi.
Each room comes with a seating area and en-suite bathroom with a hairdryer.	В каждом номере имеется гостиная зона и ванная комната с феном.
The house opens onto a garden and is surrounded by the County Mayo countryside.	Этот отель находится на территории загородной местности графства Мейо, а из здания отеля можно выйти в сад.
Located on Ustica Island, Baglio L'Antico Forno is 700 metres from Ustica Harbour.	Гостевой дом Baglio L'Antico Forno расположен на острове Устика, в 700 метрах от гавани Устика.
This holiday park is situated on Åland Island, 12 km from central Godby.	Этот отель находится на Аландских островах, в 12 км от центра города Годбю.
Guangzhou Angel Baby Theme Hotel offers accommodation in Guangzhou. It is located a 5-minute walk from Hanxi Chimelong Metro Station (Line 3) and Chimelong Paradise.	Отель Guangzhou Angel Baby Theme расположен в городе Гуанчжоу, в 5 минутах ходьбы от станции метро Hanxi Chimelong (линия 3) и парка аттракционов «Чимелонг-Парадайз».
The owners can help with arranging archaelogical tours, wine tours and boat trips.	Владельцы виллы могут организовать для гостей археологические экскурсии, морские прогулки и винные туры.
For a snack, visit the Pavillion Pantry Market, which offers beverages and ready-to-cook meal options.	Закуски, напитки и полуфабрикаты можно приобрести в мини-маркете Pavillion Pantry.
There is a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Marina Court Alamanda Homestay is situated just a 3-minute walk from entertainment options at the Kota Kinabalu Waterfront.	Комплекс апартаментов Marina Court Alamanda Homestay расположен в 3 минутах ходьбы от развлекательных заведений набережной города Кота-Кинабалу.
Available round-the-clock, the friendly staff can assist guests with their requests throughout the day.	Доброжелательные сотрудники стойки регистрации готовы помочь гостям в любое время суток.
There is ticket service at the property. Self-Service provides video conferencing, telephone reception service instead of on-site reception service for guests' convenience.	Гости могут воспользоваться услугами билетной кассы. Вместо стойки регистрации в гостевом доме установлена система видео-конференц-связи и телефонная система регистрации заезда.
It has a well-equipped kitchen, a dining area, a cable TV and a full bathroom.	В апартаментах в вашем распоряжении полностью укомплектованная кухня, обеденная зона, кабельное телевидение и полностью оборудованная ванная комната.
Every guest accommodation in this all-suite hotel features a fully-equipped kitchen and a 32-inch TV with satellite channels.	Номера располагают полностью укомплектованной кухней и 32-дюймовым телевизором со спутниковыми каналами.
You will find a 24-hour front desk at the property.	Стойка регистрации работает круглосуточно.
Baza otdykha Berezovaya Roscha offers pet-friendly accommodation in Tatysh.	База отдыха «Березовая роща» расположена в поселке Татыш. Возможно размещение с домашними животными.
Many outdoor activities are available in the area surrounding the Drei Bären.	В окрестностях отеля Drei Bären гости могут приятно провести время на свежем воздухе.
The vibrant centre of Cesme is 9 km from the property.	Отель находится в 9 км от оживленного центра города Чешме.
The fully-equipped kitchen includes a refrigerator, stove and a microwave.	Полностью оборудованная кухня располагает холодильником, плитой и микроволновой печью.
Satellite TV, a seating area and an en suite bathroom are provided in each room at Days Inn Casa Grande.	Номера отеля Days Inn Casa Grande оснащены телевизором со спутниковыми каналами, гостиной зоной и ванной комнатой.
The elegant units are all air-conditioned and feature a minibar, flat-screen TV, and a private bathroom with free toiletries, a hairdryer, slippers and bathrobe.	В числе удобств каждого со вкусом оформленного номера — кондиционер, мини-бар, телевизор с плоским экраном и собственная ванная комната, укомплектованная бесплатными туалетно-косметическими принадлежностями, феном, тапочками и халатом.
Day trips and sightseeing bookings can be made at the on-site tour desk.	Сотрудники туристического бюро организуют для вас однодневные экскурсии и помогут составить план осмотра достопримечательностей.
The Podere dell'Anselmo is a small farmhouse offering independent apartments, an on-site swimming pool, horseback riding facilities, wine tasting and a cooking school.	Пансион Dell'Anselmo Podere занимает небольшой фермерский дом и предлагает размещение в апартаментах. Гости пансиона смогут поплавать в бассейне, покататься на лошадях, продегустировать вина и посетить занятия в кулинарной школе.
This stylish design hotel is located 150 metres from Rocafort Metro Station in Barcelona.	Этот стильный дизайн-отель находится в 150 метрах от станции метро Rocafort в Барселоне.
Other facilities at Pelagos Bungalow include an outdoor pool.	В комплексе апартаментов Bungalow Pelagos имеется открытый бассейн.
Avra hotel is situated in the old town of Parga, just steps from the castle.	Отель Avra расположен в старом городе Парги, всего в нескольких шагах от замка.
Featuring a shower, private bathroom also comes with a hairdryer and free toiletries.	В собственной ванной комнате с душем предоставляются бесплатные туалетно-косметические принадлежности и фен.
Asian cuisine and fresh seafood is served at the hotel’s signature s.e.a restaurant.	В изысканном ресторане S.e.a. подают блюда азиатской кухни и блюда из свежих морепродуктов.
A flat-screen TV is offered.	В числе прочих удобств телевизор с плоским экраном.
The hotel is located by the Fukurogawa River, where guests can enjoy cherry blossoms in the Spring.	Отель разместился на берегу реки Фукурогава, вдоль которого весной пышно цветут вишни.
Located in the city centre, just 50 metres from the wonderful Piazza dei Priori, the historic Nazionale offers the ideal base for you to explore beautiful Volterra.	Исторический отель Nazionale, размещенный в центре города, всего в 50 метрах от великолепной площади Пьяцца дей Приори, представляет собой отличную базу для знакомства с красивым городом Вольтерра.
Guests will be able to find various typical Mexican restaurants offering regional cuisine within the Historic Centre.	В историческом центре города можно посетить оригинальные мексиканские рестораны, в которых предлагаются блюда местной кухни.
All units offer views of Trigrad village and the mountains and feature a flat-screen TV and a safe.	Изо всех номеров открывается вид на поселок Триград и горы. В числе удобств — телевизор с плоским экраном и сейф.
The Hotel is located 300 metres from La Moneda Palace and 400 metres from Plaza de Armas.	Отель находится в 300 метрах от дворца Ла-Монеда и в 400 метрах от площади Пласа-де-Армас.
The air-conditioned rooms include free Wi-Fi and cable TV.	В номерах работает кондиционер, есть бесплатный Wi-Fi и кабельное телевидение.
The Petzen Ski Resort lies 25 km from the house, while the beautiful bathing lake, Wörthersee, is approximately 30 km away. Völkermarkt, where guests can find a public outdoor pool, is within 5 km.	Расстояние до горнолыжного курорта Петцен составляет 25 км, а до прекрасного озера Вертер-Зе, где можно купаться и рыбачить, — около 30 км. Фёлькермаркт, где расположен общественный открытый бассейн, находится в радиусе 5 км.
Each air-conditioned room here will provide you with a flat-screen cable TV and seating area. Featuring a shower, private bathroom comes with free toiletries.	Номера располагают кондиционером, телевизором с плоским экраном и кабельными каналами, а также гостиным уголком и собственной ванной комнатой с душем и бесплатными туалетно-косметическими принадлежностями.
Guests will receive discounts at the on-site restaurant, which serves local cuisine, international dishes and fish specialities.	Гостям предоставляются скидки в ресторане отеля, в котором подают блюда местной и интернациональной кухни и фирменные блюда из рыбы.
The attached bathrooms come with free toiletries and a shower.	К услугам гостей смежная ванная комната с душем и бесплатными туалетно-косметическими принадлежностями.
There is a private bathroom with free toiletries in every unit.	Собственная ванная комната каждых апартаментов укомплектована бесплатными туалетно-косметическими принадлежностями.
Las Americas International Airport near Santo Domingo is a 30-minute drive away.	Международный аэропорт Лас-Америкас рядом с Санто-Доминго находится в 15 минутах езды от апартаментов.
It offers free Wi-Fi and an airport shuttle service.	Гостям предоставляются бесплатный Wi-Fi и трансфер от/до аэропорта.
Bed linen is provided.	Постельное белье входит в стоимость проживания.
Stārķis is a detached holiday home featuring a garden with a barbecue, located 6 km from Daugavpils in the Latgale Region.It features a number of spa facilities at extra charge, including sauna, therapeutic massage, clay wraps, also with essential oils and herbs, face and body masks using natural ingredients, bathing massage and massage cupping.	Отдельно стоящий дом для отпуска Stārķis расположен в 6 км от города Даугавпилс в Латгальском регионе. К услугам гостей сад с принадлежностями для барбекю. В спа-центре за дополнительную плату можно посетить сауну, а также заказать лечебный массаж, обертывание с глиной, эфирными маслами и травами, маску для лица и тела из натуральных ингредиентов, банный массаж и массаж банками.
Windermere village has a variety of shops, restaurants, and pubs are located a 2-minute walk away.	В поселке Уиндермир находится множество магазинов, ресторанов и пабов, которые расположены в 2 минутах ходьбы.
Alushta is 40 km from Tavricheskaya Inn, while Hurzuf is 47 km away.	В 40 км от гостиницы «Таврическая» находится город Алушта, а в 47 км — поселок Гурзуф.
You will find a 24-hour front desk at the property.	Стойка регистрации открыта круглосуточно.
The on-site restaurant prepares traditional Cretan dishes and fresh fish.	В ресторане на территории отеля подают традиционные блюда критской кухни и свежеприготовленную рыбу.
The nearest airport is Faro Airport, 88 km from Casa da Felicidade.	Расстояние до ближайшего аэропорта, Фару, составляет 88 км от апартаментов Casa da Felicidade.
Dessau Central Station is just 900 metres from Pension Nord, and the A9 motorway is 10 minutes by car.	Центральный железнодорожный вокзал Дессау находится всего в 900 метрах от гостевого дома Nord. Выезд на шоссе А9 расположен в 10 минутах езды.
To make each stay comfortable, Saint George Comfort Inn offers a gym, an outdoor pool and 2 hot tubs.	В отеле Saint George Comfort Inn в вашем распоряжении тренажерный зал, открытый бассейн, 2 гидромассажные ванны и прачечная.
Guests are invited to prepare their own home-cooked meals and snacks in the fully equipped kitchen, complete with coffee machine and toaster.	Гости смогут приготовить себе еду на полностью оборудованной кухне с кофемашиной и тостером.
Vasiliki Beach is 150 metres away.	В 150 метрах расположен пляж Василики.
Santana do Livramento Golf Club is 5 km from Cave 12.	От отеля Cave 12 до гольф-клуба Сантана-ду-Ливраменту - 5 км.
Each individually decorated villa at The Marbella Club provides contemporary furnishings, fully equipped kitchens and private balconies.	Все виллы в отеле The Marbella Club оформлены в индивидуальном стиле, обставлены современной мебелью и располагают полностью оснащенной кухней и собственным балконом.
At Urban Deca Homes Condominium, guests can access the Club House.	Гости кондоминиума Urban Deca Homes могут посещать бар Club House.
Situated on the banks of the Witham River, the tranquil White Horse Holiday Park offers self-catering accommodation with free private parking.	Тихий парк для отдыха White Horse расположен на берегах реки Уитем. В распоряжении гостей бесплатная частная парковка и передвижные дома с собственной кухней.
Accommodation will provide you with a TV, air conditioning and a balcony.	В числе удобств апартаментов телевизор, кондиционер и балкон.
Guests at Hotel Route-Inn Sapporo Chuo can enjoy video-on-demand movies on the flat-screen TV.	Гости отеля Route-Inn Sapporo Chuo могут посмотреть фильмы по запросу по телевизору с плоским экраном.
Hoang De Hotel is housed in a modern building. Providing affordable accommodation, the property also offers free WiFi access and well-furnished rooms cooled with air conditioning.	Отель Hoang De находится в современном здании, а его гостям предлагается проживание в недорогих и хорошо оборудованных номерах с кондиционером. К вашим услугам бесплатный WiFi.
Room service is provided.	Производится обслуживание номеров.
The Augusta Mall is 4 km from the Augusta Red Carpet Inn. Central Augusta is 10 minutes' drive away.	Торговый центр Augusta Mall находится в 4 км от отеля Augusta Red Carpet Inn, а до центра города Августа можно доехать за 10 минут.
Free private parking is also available.	Предоставляется бесплатная частная парковка.
Its restaurant serves traditional Andalusian cuisine.	В ресторане подают блюда традиционной андалузской кухни.
Located in Macau, 300 metres from Lotus Statue, Sands Macao Hotel boasts an outdoor pool and spa centre.	Отель Sands Macao расположен в Макао, в 300 метрах от статуи Золотого лотоса. К услугам гостей открытый бассейн и спа-центр.
All rooms have heating and garden views.	Во все номера проведено отопление, а из окон открывается вид на сад.
Living Verdizela is equipped with air conditioning and includes a double and a twin bedroom plus a spacious living room with a large sofa, a fireplace and a flat-screen cable TV. The private bathroom comes with a walk-in shower, a bidet and a hairdryer.	Дом для отпуска Living Verdizela располагает кондиционером, 2 спальнями с двуспальными кроватями в каждой и 1 спальней с 2 отдельными кроватями, просторной гостиной с большим диваном, камином и телевизором с плоским экраном с кабельными каналами. В собственной ванной комнате с душем и биде предоставляется феном.
Some units additionally feature a living area with a sofa bed, or a spa bath.	Некоторые номера дополнительно оснащены гидромассажной ванной или гостиной зоной с диваном-кроватью.
The property is also 42 minutes’ drive from Dollywood theme park in Pigeon Forge.	Поездка до парка аттракционов Долливуд в городе Пиджен-Фордж занимает 42 минуты.
The Museumsquartier Metro Stop is 200 metres away.	Расстояние до станции метро Museumsquartier составляет 200 метров.
Cocktails are served at Santai Lounge.	Коктейли подают в лаундже Santai.
Visitors can relax with a free newspaper or play table tennis, while children enjoy the on-site playground.	Гости могут отдохнуть, читая бесплатную газету, или сыграть в настольный теннис, пока дети развлекаются на игровой площадке отеля.
This simply furnished holiday home features a living area with sofa bed and TV, plus a kitchenette.	Гостям предлагается размещение в оформленном в строгом стиле доме для отпуска с гостиной зоной с диваном-кроватью и телевизором, а также мини-кухней.
A variety of restaurants, shops and bars are within 5 minutes' drive from the house.	В 5 минутах езды от дома для отпуска работают рестораны, бары и магазины.
The property is a 30-minute drive from Arezzo. Lucignano and Rigomagno Stations are around 5 km away and link with Arezzo and Siena.	Отель типа «постель и завтрак» находится в 30 минутах езды от города Ареццо и примерно в 5 км от железнодорожных вокзалов Лучиньяно и Ригоманьо, от которых можно добраться до городов Ареццо и Сиена.
Free bikes are available at the hotel.	Гости могут бесплатно пользоваться велосипедами.
It features a spacious garden with sun loungers, and each apartment has a private terrace.	К услугам гостей просторный сад с шезлонгами, бесплатный Wi-Fi, а все апартаменты оборудованы собственной террасой.
A terrace or balcony are featured in certain rooms.	В числе удобств номеров — чайник. Гости пользуются общей ванной комнатой.
There is an indoor pool for cooler months, and tennis courts for the summer.	В более прохладные месяцы гости могут плавать в крытом бассейне, а летом играть на теннисных кортах.
A shuttle service to the property is available at the airport.	Гостям предоставляется трансфер от аэропорта до отеля.
A flat-screen TV is provided.	В числе удобств телевизор с плоским экраном.
There is a private bathroom with a bath.	В собственной ванной комнате установлена ванна.
Chateau de la Tremblaye rooms are individually decorated in different themes, all in a classic style.	Номера отеля Château de la Tremblaye индивидуально оформлены в классическом стиле в различной тематике.
You can get to the beach, which offers a selection of restaurants, within 5 minutes ́ walk.	Прогулка до работающих вдоль пляжа ресторанов занимает 5 минут.
Tianjin World Economy Trade and Exhibition Centre is 7 km from Tianjin JIajun Express Hotel. Tianjin Railway Station is 11 km away.	Тяньцзиньский торгово-выставочный центр мировой экономики находится в 7 км, а расстояние до железнодорожного вокзала Тяньцзиня составляет 11 км.
